Rank,Team,Latest results,Upcoming matches,Points
24,Austria,FIFA World Cup 26™ UEFA QualifiersGroup H12 October 2025Romania1Austria012 October 2025FIFA World Cup 26™ UEFA QualifiersGroup H15 November 2025Cyprus0Austria215 November 2025FIFA World Cup 26™ UEFA QualifiersGroup H18 November 2025Austria1Bosnia and Herzegovina118 November 2025Friendly 202627 March 2026Austria5Ghana127 March 2026Friendly 202631 March 2026Austria1Korea Republic031 March 2026,AustriaTunisia01 Jun18:45,1593.45
25,Korea Republic,Friendly 202514 October 2025Korea Republic2Paraguay014 October 2025Friendly 202514 November 2025Korea Republic2Bolivia014 November 2025Friendly 202518 November 2025Korea Republic1Ghana018 November 2025Friendly 202628 March 2026Korea Republic0Côte d'Ivoire428 March 2026Friendly 202631 March 2026Austria1Korea Republic031 March 2026,Korea RepublicTrinidad and Tobago30 May16:00,1588.66
26,Nigeria,Africa Cup of Nations 2025Semi-final14 January 2026Nigeria0(2)MoroccoWon 4 - 2 On Penalties0(4)14 January 2026Africa Cup of Nations 2025Match for third place17 January 2026Egypt0(2)NigeriaWon 4 - 2 On Penalties0(4)17 January 2026Friendly 202627 March 2026IR Iran1Nigeria227 March 2026Friendly 202631 March 2026Jordan2Nigeria231 March 2026The Unity Cup 2026Semi-final26 May 2026Nigeria2Zimbabwe026 May 2026,NigeriaJamaica30 May18:30,1585.09*
27,Australia,Friendly 202515 October 2025USA2Australia115 October 2025Friendly 202515 November 2025Venezuela1Australia015 November 2025Friendly 202519 November 2025Colombia3Australia019 November 2025FIFA Series 2026™ AustraliaPre-arranged fixture27 March 2026Australia1Cameroon027 March 2026FIFA Series 2026™ AustraliaPre-arranged fixture31 March 2026Australia5Curaçao131 March 2026,MexicoAustralia31 May02:00,1580.67
28,Algeria,Africa Cup of Nations 2025Group E31 December 2025Equatorial Guinea1Algeria331 December 2025Africa Cup of Nations 2025Round of 1606 January 2026Algeria1Congo DR006 January 2026Africa Cup of Nations 2025Quarter-final10 January 2026Algeria0Nigeria210 January 2026Friendly 202627 March 2026Algeria7Guatemala027 March 2026Friendly 202631 March 2026Algeria0Uruguay031 March 2026,,1564.26
29,Egypt,Africa Cup of Nations 2025Semi-final14 January 2026Senegal1Egypt014 January 2026Africa Cup of Nations 2025Match for third place17 January 2026Egypt0(2)NigeriaWon 4 - 2 On Penalties0(4)17 January 2026Friendly 202627 March 2026Saudi Arabia0Egypt427 March 2026Friendly 202631 March 2026Spain0Egypt031 March 2026Friendly 202628 May 2026Egypt1Russia028 May 2026,,1563.24*
30,Canada,Friendly 202515 October 2025Colombia0Canada015 October 2025Friendly 202514 November 2025Canada0Ecuador014 November 2025Friendly 202519 November 2025Canada2Venezuela019 November 2025Friendly 202628 March 2026Canada2Iceland228 March 2026Friendly 202631 March 2026Canada0Tunisia031 March 2026,,1556.48
31,Norway,Friendly 202514 October 2025Norway1New Zealand114 October 2025FIFA World Cup 26™ UEFA QualifiersGroup I13 November 2025Norway4Estonia113 November 2025FIFA World Cup 26™ UEFA QualifiersGroup I16 November 2025Italy1Norway416 November 2025Friendly 202627 March 2026Netherlands2Norway127 March 2026Friendly 202631 March 2026Norway0Switzerland031 March 2026,NorwaySweden01 Jun17:00,1550.94
32,Ukraine,FIFA World Cup 26™ UEFA QualifiersGroup D13 October 2025Ukraine2Azerbaijan113 October 2025FIFA World Cup 26™ UEFA QualifiersGroup D13 November 2025France4Ukraine013 November 2025FIFA World Cup 26™ UEFA QualifiersGroup D16 November 2025Ukraine2Iceland016 November 2025FIFA World Cup 26™ UEFA QualifiersPath B – Semi-final26 March 2026Ukraine1Sweden326 March 2026Friendly 202631 March 2026Ukraine1Albania031 March 2026,PolandUkraine31 May15:30,1546.88
33,Panama,FIFA World Cup 26™ Concacaf QualifiersGroup A19 November 2025Panama3El Salvador019 November 2025Friendly 202618 January 2026Bolivia1Panama118 January 2026Friendly 202623 January 2026Panama0Mexico123 January 2026Friendly 202627 March 2026South Africa1Panama127 March 2026Friendly 202631 March 2026South Africa1Panama231 March 2026,BrazilPanama31 May21:00,1540.64
34,Côte d'Ivoire,Africa Cup of Nations 2025Group F31 December 2025Gabon2Côte d'Ivoire331 December 2025Africa Cup of Nations 2025Round of 1606 January 2026Côte d'Ivoire3Burkina Faso006 January 2026Africa Cup of Nations 2025Quarter-final10 January 2026Egypt3Côte d'Ivoire210 January 2026Friendly 202628 March 2026Korea Republic0Côte d'Ivoire428 March 2026Friendly 202631 March 2026Scotland0Côte d'Ivoire131 March 2026,,1532.98
35,Poland,FIFA World Cup 26™ UEFA QualifiersGroup G12 October 2025Lithuania0Poland212 October 2025FIFA World Cup 26™ UEFA QualifiersGroup G14 November 2025Poland1Netherlands114 November 2025FIFA World Cup 26™ UEFA QualifiersGroup G17 November 2025Malta2Poland317 November 2025FIFA World Cup 26™ UEFA QualifiersPath B – Semi-final26 March 2026Poland2Albania126 March 2026FIFA World Cup 26™ UEFA QualifiersPath B – Final31 March 2026Sweden3Poland231 March 2026,PolandUkraine31 May15:30,1528.00
36,Russia,Friendly 202512 November 2025Russia1Peru112 November 2025Friendly 202515 November 2025Russia0Chile215 November 2025Friendly 202627 March 2026Russia3Nicaragua127 March 2026Friendly 202631 March 2026Russia0Mali031 March 2026Friendly 202628 May 2026Egypt1Russia028 May 2026,,1525.60*
37,Wales,FIFA World Cup 26™ UEFA QualifiersGroup J13 October 2025Wales2Belgium413 October 2025FIFA World Cup 26™ UEFA QualifiersGroup J15 November 2025Liechtenstein0Wales115 November 2025FIFA World Cup 26™ UEFA QualifiersGroup J18 November 2025Wales7North Macedonia118 November 2025FIFA World Cup 26™ UEFA QualifiersPath A – Semi-final26 March 2026Wales1(2)Bosnia and HerzegovinaWon 4 - 2 On Penalties1(4)26 March 2026Friendly 202631 March 2026Wales1Northern Ireland131 March 2026,WalesGhana02 Jun18:45,1524.29
38,Sweden,FIFA World Cup 26™ UEFA QualifiersGroup B13 October 2025Sweden0Kosovo113 October 2025FIFA World Cup 26™ UEFA QualifiersGroup B15 November 2025Switzerland4Sweden115 November 2025FIFA World Cup 26™ UEFA QualifiersGroup B18 November 2025Sweden1Slovenia118 November 2025FIFA World Cup 26™ UEFA QualifiersPath B – Semi-final26 March 2026Ukraine1Sweden326 March 2026FIFA World Cup 26™ UEFA QualifiersPath B – Final31 March 2026Sweden3Poland231 March 2026,NorwaySweden01 Jun17:00,1514.77
39,Serbia,FIFA World Cup 26™ UEFA QualifiersGroup K14 October 2025Andorra1Serbia314 October 2025FIFA World Cup 26™ UEFA QualifiersGroup K13 November 2025England2Serbia013 November 2025FIFA World Cup 26™ UEFA QualifiersGroup K16 November 2025Serbia2Latvia116 November 2025Friendly 202627 March 2026Spain3Serbia027 March 2026Friendly 202631 March 2026Serbia2Saudi Arabia131 March 2026,Cabo VerdeSerbia31 May14:30,1508.65
40,Paraguay,Friendly 202514 October 2025Korea Republic2Paraguay014 October 2025Friendly 202515 November 2025USA2Paraguay115 November 2025Friendly 202519 November 2025Mexico1Paraguay219 November 2025Friendly 202627 March 2026Greece0Paraguay127 March 2026Friendly 202631 March 2026Morocco2Paraguay131 March 2026,,1503.50
41,Czechia,FIFA World Cup 26™ UEFA QualifiersGroup L12 October 2025Faroe Islands2Czechia112 October 2025Friendly 202513 November 2025Czechia1San Marino013 November 2025FIFA World Cup 26™ UEFA QualifiersGroup L17 November 2025Czechia6Gibraltar017 November 2025FIFA World Cup 26™ UEFA QualifiersPath D – Semi-final26 March 2026CzechiaWon 4 - 3 On Penalties2(4)Republic of Ireland2(3)26 March 2026FIFA World Cup 26™ UEFA QualifiersPath D – Final31 March 2026CzechiaWon 3 - 1 On Penalties2(3)Denmark2(1)31 March 2026,CzechiaKosovo31 May14:00,1501.38
42,Hungary,FIFA World Cup 26™ UEFA QualifiersGroup F14 October 2025Portugal2Hungary214 October 2025FIFA World Cup 26™ UEFA QualifiersGroup F13 November 2025Armenia0Hungary113 November 2025FIFA World Cup 26™ UEFA QualifiersGroup F16 November 2025Hungary2Republic of Ireland316 November 2025Friendly 202628 March 2026Hungary1Slovenia028 March 2026Friendly 202631 March 2026Hungary0Greece031 March 2026,HungaryFinland05 Jun17:45,1500.58
43,Scotland,FIFA World Cup 26™ UEFA QualifiersGroup C12 October 2025Scotland2Belarus112 October 2025FIFA World Cup 26™ UEFA QualifiersGroup C15 November 2025Greece3Scotland215 November 2025FIFA World Cup 26™ UEFA QualifiersGroup C18 November 2025Scotland4Denmark218 November 2025Friendly 202628 March 2026Scotland0Japan128 March 2026Friendly 202631 March 2026Scotland0Côte d'Ivoire131 March 2026,ScotlandCuraçao30 May12:00,1498.35
44,Tunisia,Africa Cup of Nations 2025Group C27 December 2025Nigeria3Tunisia227 December 2025Africa Cup of Nations 2025Group C30 December 2025Tanzania1Tunisia130 December 2025Africa Cup of Nations 2025Round of 1603 January 2026MaliWon 3 - 2 On Penalties1(3)Tunisia1(2)03 January 2026Friendly 202629 March 2026Haiti0Tunisia129 March 2026Friendly 202631 March 2026Canada0Tunisia031 March 2026,AustriaTunisia01 Jun18:45,1483.05
45,Cameroon,Africa Cup of Nations 2025Group F31 December 2025Mozambique1Cameroon231 December 2025Africa Cup of Nations 2025Round of 1604 January 2026South Africa1Cameroon204 January 2026Africa Cup of Nations 2025Quarter-final09 January 2026Cameroon0Morocco209 January 2026FIFA Series 2026™ AustraliaPre-arranged fixture27 March 2026Australia1Cameroon027 March 2026FIFA Series 2026™ AustraliaPre-arranged fixture31 March 2026Cameroon2China PR031 March 2026,,1481.24
46,Congo DR,Africa Cup of Nations 2025Group D23 December 2025Congo DR1Benin023 December 2025Africa Cup of Nations 2025Group D27 December 2025Senegal1Congo DR127 December 2025Africa Cup of Nations 2025Group D30 December 2025Botswana0Congo DR330 December 2025Africa Cup of Nations 2025Round of 1606 January 2026Algeria1Congo DR006 January 2026FIFA World Cup 2026™ Play-Off TournamentPath A - Final31 March 2026Congo DR1Jamaica031 March 2026,Congo DRDenmark03 Jun18:00,1478.35
47,Greece,FIFA World Cup 26™ UEFA QualifiersGroup C12 October 2025Denmark3Greece112 October 2025FIFA World Cup 26™ UEFA QualifiersGroup C15 November 2025Greece3Scotland215 November 2025FIFA World Cup 26™ UEFA QualifiersGroup C18 November 2025Belarus0Greece018 November 2025Friendly 202627 March 2026Greece0Paraguay127 March 2026Friendly 202631 March 2026Hungary0Greece031 March 2026,SwedenGreece04 Jun17:00,1475.82
48,Slovakia,FIFA World Cup 26™ UEFA QualifiersGroup A13 October 2025Slovakia2Luxembourg013 October 2025FIFA World Cup 26™ UEFA QualifiersGroup A14 November 2025Slovakia1Northern Ireland014 November 2025FIFA World Cup 26™ UEFA QualifiersGroup A17 November 2025Germany6Slovakia017 November 2025FIFA World Cup 26™ UEFA QualifiersPath C – Semi-final26 March 2026Slovakia3Kosovo426 March 2026Friendly 202631 March 2026Slovakia2Romania031 March 2026,SlovakiaMalta01 Jun16:00,1473.94
49,Venezuela,Friendly 202511 October 2025Argentina1Venezuela011 October 2025Friendly 202515 November 2025Venezuela1Australia015 November 2025Friendly 202519 November 2025Canada2Venezuela019 November 2025FIFA Series 2026™ UzbekistanSemi-final27 March 2026Venezuela4Trinidad and Tobago127 March 2026FIFA Series 2026™ UzbekistanSemi-final30 March 2026Uzbekistan0Venezuela030 March 2026,VenezuelaTürkiye06 Jun22:00,1468.05
50,Uzbekistan,Friendly 202513 October 2025Uzbekistan1Uruguay213 October 2025Al Ain International Cup 2025Semi-final14 November 2025Egypt0Uzbekistan214 November 2025Al Ain International Cup 2025Final18 November 2025IR Iran0(3)UzbekistanWon 4 - 3 On Penalties0(4)18 November 2025FIFA Series 2026™ UzbekistanSemi-final27 March 2026Uzbekistan3Gabon127 March 2026FIFA Series 2026™ UzbekistanSemi-final30 March 2026Uzbekistan0Venezuela030 March 2026,NetherlandsUzbekistan08 Jun18:45,1465.34
51,Costa Rica,FIFA World Cup 26™ Concacaf QualifiersGroup C14 October 2025Costa Rica4Nicaragua114 October 2025FIFA World Cup 26™ Concacaf QualifiersGroup C14 November 2025Haiti1Costa Rica014 November 2025FIFA World Cup 26™ Concacaf QualifiersGroup C19 November 2025Costa Rica0Honduras019 November 2025Friendly 202627 March 2026Jordan2Costa Rica227 March 2026Friendly 202631 March 2026IR Iran5Costa Rica031 March 2026,ColombiaCosta Rica29 May23:00,1459.90
52,Mali,Africa Cup of Nations 2025Group A26 December 2025Morocco1Mali126 December 2025Africa Cup of Nations 2025Group A29 December 2025Comoros0Mali029 December 2025Africa Cup of Nations 2025Round of 1603 January 2026MaliWon 3 - 2 On Penalties1(3)Tunisia1(2)03 January 2026Africa Cup of Nations 2025Quarter-final09 January 2026Mali0Senegal109 January 2026Friendly 202631 March 2026Russia0Mali031 March 2026,,1459.13
53,Peru,Friendly 202510 October 2025Chile2Peru110 October 2025Friendly 202512 November 2025Russia1Peru112 November 2025Friendly 202518 November 2025Chile2Peru118 November 2025Friendly 202628 March 2026Peru0Senegal228 March 2026Friendly 202631 March 2026Peru2Honduras231 March 2026,PeruHaiti05 Jun23:30,1455.87
54,Chile,Friendly 202510 October 2025Chile2Peru110 October 2025Friendly 202515 November 2025Russia0Chile215 November 2025Friendly 202518 November 2025Chile2Peru118 November 2025FIFA Series 2026™ New ZealandPre-arranged fixture27 March 2026Chile4Cabo Verde227 March 2026FIFA Series 2026™ New ZealandPre-arranged fixture30 March 2026New Zealand4Chile130 March 2026,Congo DRChile09 Jun14:00,1455.28
55,Qatar,FIFA World Cup 26™ AFC QualifiersGroup A14 October 2025Qatar2United Arab Emirates114 October 2025FIFA Arab Cup Qatar 2025™Group A01 December 2025Qatar0Palestine101 December 2025FIFA Arab Cup Qatar 2025™Group A04 December 2025Syria1Qatar104 December 2025FIFA Arab Cup Qatar 2025™Group A07 December 2025Qatar0Tunisia307 December 2025Friendly 202628 May 2026Republic of Ireland1Qatar028 May 2026,,1454.96*
56,Romania,FIFA World Cup 26™ UEFA QualifiersGroup H12 October 2025Romania1Austria012 October 2025FIFA World Cup 26™ UEFA QualifiersGroup H15 November 2025Bosnia and Herzegovina3Romania115 November 2025FIFA World Cup 26™ UEFA QualifiersGroup H18 November 2025Romania7San Marino118 November 2025FIFA World Cup 26™ UEFA QualifiersPath C – Semi-final26 March 2026Türkiye1Romania026 March 2026Friendly 202631 March 2026Slovakia2Romania031 March 2026,GeorgiaRomania02 Jun17:00,1451.16
57,Iraq,FIFA Arab Cup Qatar 2025™Group D03 December 2025Iraq2Bahrain103 December 2025FIFA Arab Cup Qatar 2025™Group D06 December 2025Sudan0Iraq206 December 2025FIFA Arab Cup Qatar 2025™Group D09 December 2025Algeria2Iraq009 December 2025FIFA Arab Cup Qatar 2025™Quarter-final12 December 2025Jordan1Iraq012 December 2025FIFA World Cup 2026™ Play-Off TournamentPath B - Final01 April 2026Iraq2Bolivia101 April 2026,IraqAndorra29 May15:00,1447.14
58,Slovenia,FIFA World Cup 26™ UEFA QualifiersGroup B13 October 2025Slovenia0Switzerland013 October 2025FIFA World Cup 26™ UEFA QualifiersGroup B15 November 2025Slovenia0Kosovo215 November 2025FIFA World Cup 26™ UEFA QualifiersGroup B18 November 2025Sweden1Slovenia118 November 2025Friendly 202628 March 2026Hungary1Slovenia028 March 2026Friendly 202631 March 2026Montenegro2Slovenia331 March 2026,SloveniaCyprus04 Jun16:00,1446.44
59,Republic of Ireland,FIFA World Cup 26™ UEFA QualifiersGroup F16 November 2025Hungary2Republic of Ireland316 November 2025FIFA World Cup 26™ UEFA QualifiersPath D – Semi-final26 March 2026CzechiaWon 4 - 3 On Penalties2(4)Republic of Ireland2(3)26 March 2026Friendly 202631 March 2026Republic of Ireland0North Macedonia031 March 2026Friendly 202616 May 2026Republic of Ireland5Grenada016 May 2026Friendly 202628 May 2026Republic of Ireland1Qatar028 May 2026,,1436.63*
60,South Africa,Africa Cup of Nations 2025Group B26 December 2025Egypt1South Africa026 December 2025Africa Cup of Nations 2025Group B29 December 2025Zimbabwe2South Africa329 December 2025Africa Cup of Nations 2025Round of 1604 January 2026South Africa1Cameroon204 January 2026Friendly 202627 March 2026South Africa1Panama127 March 2026Friendly 202631 March 2026South Africa1Panama231 March 2026,,1429.73
61,Saudi Arabia,FIFA Arab Cup Qatar 2025™Quarter-final11 December 2025Palestine1Saudi Arabia211 December 2025FIFA Arab Cup Qatar 2025™Semi-final15 December 2025Saudi Arabia0Jordan115 December 2025FIFA Arab Cup Qatar 2025™Match for third placeAbandonedSaudi ArabiaUnited Arab EmiratesAbandonedFriendly 202627 March 2026Saudi Arabia0Egypt427 March 2026Friendly 202631 March 2026Serbia2Saudi Arabia131 March 2026,Saudi ArabiaEcuador31 May00:30,1421.43
62,Burkina Faso,Africa Cup of Nations 2025Group E28 December 2025Algeria1Burkina Faso028 December 2025Africa Cup of Nations 2025Group E31 December 2025Sudan0Burkina Faso231 December 2025Africa Cup of Nations 2025Round of 1606 January 2026Côte d'Ivoire3Burkina Faso006 January 2026Friendly 202628 March 2026Burkina Faso5Guinea-Bissau028 March 2026Friendly 202631 March 2026Burkina Faso1Guinea-Bissau131 March 2026,,1412.49
63,Jordan,FIFA Arab Cup Qatar 2025™Quarter-final12 December 2025Jordan1Iraq012 December 2025FIFA Arab Cup Qatar 2025™Semi-final15 December 2025Saudi Arabia0Jordan115 December 2025FIFA Arab Cup Qatar 2025™Final18 December 2025Jordan2Morocco318 December 2025Friendly 202627 March 2026Jordan2Costa Rica227 March 2026Friendly 202631 March 2026Jordan2Nigeria231 March 2026,SwitzerlandJordan31 May13:00,1391.45
64,Albania,Friendly 202514 October 2025Albania4Jordan214 October 2025FIFA World Cup 26™ UEFA QualifiersGroup K13 November 2025Andorra0Albania113 November 2025FIFA World Cup 26™ UEFA QualifiersGroup K16 November 2025Albania0England216 November 2025FIFA World Cup 26™ UEFA QualifiersPath B – Semi-final26 March 2026Poland2Albania126 March 2026Friendly 202631 March 2026Ukraine1Albania031 March 2026,AlbaniaLuxembourg06 Jun18:00,1388.06
